,name,race,medical,positive,negative,flavors
0,Afpak,hybrid,"Depression,Insomnia,Pain,Stress,Lack of Appetite","Relaxed,Hungry,Happy,Sleepy",Dizzy,"Earthy,Chemical,Pine"
1,African,sativa,"Depression,Pain,Stress,Lack of Appetite,Nausea,Headache","Euphoric,Happy,Creative,Energetic,Talkative",Dry Mouth,"Spicy/Herbal,Pungent,Earthy"
2,Afternoon Delight,hybrid,"Depression,Insomnia,Pain,Stress,Cramps,Headache","Relaxed,Hungry,Euphoric,Uplifted,Tingly","Dizzy,Dry Mouth,Paranoid","Pepper,Flowery,Pine"
3,Afwreck,hybrid,"Pain,Stress,Headache,Fatigue,Headaches,Muscle Spasms","Relaxed,Happy,Creative,Uplifted,Sleepy","Dizzy,Dry Mouth,Paranoid,Dry Eyes","Pine,Earthy,Flowery"
4,Agent Orange,hybrid,"Depression,Pain,Stress,Nausea,Headache,Headaches","Relaxed,Euphoric,Happy,Energetic,Uplifted","Dizzy,Dry Mouth,Paranoid,Dry Eyes","Citrus,Orange,Sweet"
5,Agent Tangie,hybrid,"Depression,Stress,Cramps,Fatigue,Eye Pressure","Euphoric,Happy,Creative,Uplifted,Focused","Dry Mouth,Dry Eyes","Skunk,Pepper,Citrus"
6,Alaska,sativa,"Depression,Pain,Stress,Lack of Appetite,Headaches","Relaxed,Euphoric,Happy,Energetic,Focused","Dizzy,Paranoid,Dry Eyes,Anxious","Earthy,Woody,Pungent"
7,Alaska Thunder Grape,hybrid,"Pain,Stress,Eye Pressure","Relaxed,Euphoric,Creative,Tingly,Focused",,"Grape,Pepper,Skunk"
8,Alaskan Ice,sativa,"Depression,Pain,Stress,Fatigue,Headaches","Euphoric,Happy,Creative,Energetic,Uplifted","Dizzy,Dry Mouth,Paranoid,Dry Eyes","Earthy,Pine,Minty"
9,Alaskan Thunder Fuck,sativa,"Depression,Pain,Stress,Lack of Appetite,Headache,Fatigue","Relaxed,Euphoric,Happy,Energetic,Uplifted","Dizzy,Dry Mouth,Paranoid,Dry Eyes","Earthy,Woody,Pine"
10,Albert Walker,hybrid,"Depression,Insomnia,Pain,Stress,Headache,Muscle Spasms","Relaxed,Hungry,Euphoric,Happy,Focused","Dizzy,Dry Mouth,Paranoid,Dry Eyes","Earthy,Pine,Skunk"
11,Alchemy,hybrid,"Insomnia,Stress,Fatigue,Headaches,Eye Pressure","Relaxed,Hungry,Uplifted,Tingly,Sleepy",,"Cheese,Chemical,Sweet"
12,Alf,hybrid,"Depression,Insomnia,Stress,Muscle Spasms","Relaxed,Euphoric,Happy,Creative,Giggly",Dry Mouth,"Diesel,Pungent,Tropical"
13,Alice in Wonderland,sativa,"Depression,Stress,Lack of Appetite,Fatigue,Muscle Spasms","Relaxed,Euphoric,Happy,Uplifted,Focused","Dizzy,Dry Mouth,Dry Eyes,Anxious","Citrus,Grapefruit,Earthy"
14,Alien Abduction,hybrid,"Depression,Insomnia,Lack of Appetite,Fatigue,Headaches","Relaxed,Happy,Creative,Focused","Dry Mouth,Dry Eyes","Earthy,Nutty,Lemon"
15,Alien Apparition,hybrid,"Depression,Cramps,Fatigue,Headaches,Eye Pressure","Hungry,Euphoric,Creative,Aroused",Dry Mouth,"Berry,Blueberry,Citrus"
16,Alien Asshat,hybrid,"Depression,Pain,Stress,Nausea,Fatigue","Euphoric,Happy,Creative,Energetic,Giggly","Dizzy,Dry Mouth","Citrus,Pungent,Lemon"
17,Alien Bubba,indica,"Depression,Insomnia,Pain,Stress,Lack of Appetite","Relaxed,Euphoric,Sleepy,Focused,Giggly","Dizzy,Dry Mouth","Earthy,Ammonia,Diesel"
18,Alien Dawg,indica,"Insomnia,Pain,Stress,Nausea,Fatigue","Relaxed,Euphoric,Happy,Uplifted,Sleepy","Dizzy,Dry Mouth,Paranoid,Dry Eyes,Anxious","Earthy,Pungent,Spicy/Herbal"
19,Alien Dutchess,sativa,"Depression,Insomnia,Pain,Stress,Lack of Appetite","Relaxed,Euphoric,Happy,Uplifted,Focused",,"Berry,Lemon,Sweet"
20,Alien Hallucination,hybrid,"Depression,Pain,Stress,Headache,Fatigue,Muscle Spasms","Relaxed,Euphoric,Happy,Uplifted",,"Chemical,Diesel,Earthy"
21,Alien Inferno,hybrid,"Depression,Pain,Stress,Lack of Appetite,Fatigue","Euphoric,Happy,Creative,Energetic,Talkative",,"Pine,Diesel,Earthy"
22,Alien Kush,indica,"Depression,Insomnia,Pain,Stress,Headache,Headaches","Relaxed,Euphoric,Uplifted,Sleepy,Giggly","Dizzy,Dry Mouth,Paranoid,Dry Eyes","Woody,Flowery,Earthy"
23,Alien OG,hybrid,"Depression,Insomnia,Pain,Stress,Muscle Spasms","Relaxed,Euphoric,Happy,Uplifted,Focused","Dizzy,Dry Mouth,Paranoid,Dry Eyes,Anxious","Lemon,Flowery,Earthy"
24,Alien Reunion,hybrid,"Pain,Lack of Appetite,Headaches,Inflammation,Muscle Spasms","Relaxed,Euphoric,Happy,Creative,Uplifted",,"Skunk,Diesel,Pungent"
25,Alien Rift,indica,"Depression,Insomnia,Pain,Stress,Headaches","Relaxed,Hungry,Euphoric,Happy,Creative",Dry Mouth,"Earthy,Chemical,Citrus"
26,Alien Rock Candy,hybrid,"Depression,Insomnia,Pain,Stress,Lack of Appetite","Relaxed,Euphoric,Happy,Uplifted,Sleepy","Dizzy,Dry Mouth,Paranoid,Dry Eyes,Anxious","Sweet,Earthy,Citrus"
27,Alien Sour Apple,hybrid,"Depression,Stress,Lack of Appetite,Muscle Spasms","Relaxed,Euphoric,Happy,Creative,Uplifted",,"Apple,Orange,Ammonia"
28,Alien Stardawg,sativa,"Depression,Stress,Lack of Appetite","Euphoric,Happy,Creative,Uplifted",Dry Mouth,"Earthy,Pungent,Rose"
29,Alien Technology,indica,"Depression,Pain,Stress,Headaches","Relaxed,Happy,Uplifted,Giggly",Dry Mouth,"Spicy/Herbal,Chemical,Woody"
30,Aliens On Moonshine,indica,"Depression,Stress,Headaches,Inflammation","Relaxed,Happy,Tingly,Focused",,"Berry,Butter,Citrus"
31,Allen Wrench,sativa,"Depression,Pain,Stress,Lack of Appetite,Nausea","Euphoric,Happy,Creative,Energetic,Uplifted","Dizzy,Dry Mouth,Paranoid,Dry Eyes,Anxious","Berry,Tropical,Mango"
32,Allkush,indica,"Pain,Stress,Eye Pressure","Relaxed,Happy,Sleepy",Dry Eyes,"Honey,Spicy/Herbal,Earthy"
33,Aloha,sativa,"Depression,Pain,Stress,Fatigue,Headaches","Relaxed,Happy,Creative,Energetic,Uplifted","Dizzy,Dry Mouth,Dry Eyes","Tropical,Sweet,Citrus"
34,Aloha Limone,hybrid,"Depression,Pain,Stress","Relaxed,Happy,Creative,Energetic,Uplifted","Dry Mouth,Dry Eyes","Citrus,Earthy,Pungent"
35,Alohaberry,hybrid,"Depression,Pain,Stress,Nausea,Fatigue","Relaxed,Euphoric,Happy,Energetic,Giggly","Dry Mouth,Paranoid,Dry Eyes","Berry,Sweet,Citrus"
36,Alpha Blue,sativa,"Depression,Insomnia,Stress,Lack of Appetite,Fatigue","Relaxed,Happy,Energetic,Uplifted,Focused","Dizzy,Dry Mouth,Dry Eyes,Anxious","Blueberry,Sweet,Berry"
37,Alpha Express,sativa,"Depression,Cramps,Fatigue,Headaches,Inflammation","Happy,Creative,Energetic,Uplifted,Focused",Dry Mouth,"Spicy/Herbal,Nutty,Tea"
38,Alpha OG,hybrid,"Depression,Insomnia,Pain,Stress,Fatigue","Relaxed,Hungry,Euphoric,Happy,Creative","Dizzy,Dry Mouth,Paranoid,Dry Eyes","Berry,Earthy,Tea"
39,Alpine Blue,hybrid,"Depression,Pain,Stress,Inflammation,Muscle Spasms","Euphoric,Creative,Energetic,Uplifted,Aroused",,"Berry,Blueberry,Pine"
40,Alpine Star,indica,"Depression,Insomnia,Pain,Stress,Fatigue","Relaxed,Euphoric,Happy,Creative,Uplifted",Dry Mouth,"Pine,Earthy,Lemon"
41,Ambrosia,hybrid,"Depression,Pain,Stress,Lack of Appetite,Headache,Fatigue","Relaxed,Hungry,Euphoric,Happy,Tingly","Dizzy,Dry Mouth,Dry Eyes,Anxious","Earthy,Tropical,Butter"
42,American Dream,hybrid,"Depression,Insomnia,Pain,Stress,Inflammation","Relaxed,Euphoric,Happy,Creative,Focused","Dry Mouth,Dry Eyes","Earthy,Sweet,Pungent"
43,American Kush,indica,"Insomnia,Pain,Stress,Headaches,Muscle Spasms","Relaxed,Happy,Tingly,Sleepy","Dry Mouth,Dry Eyes","Sweet,Lemon,Lime"
44,Americano,indica,"Pain,Nausea,Headaches","Relaxed,Euphoric,Creative,Focused,Aroused",,"Earthy,Diesel,Spicy/Herbal"
45,Amnesia,sativa,"Depression,Pain,Stress,Lack of Appetite,Headache,Headaches","Relaxed,Euphoric,Happy,Energetic,Uplifted","Dry Mouth,Paranoid,Dry Eyes,Anxious","Earthy,Sweet,Citrus"
46,Amnesia Haze,sativa,"Depression,Pain,Stress,Headache,Fatigue,Headaches","Euphoric,Happy,Creative,Energetic,Uplifted","Dizzy,Dry Mouth,Paranoid,Dry Eyes","Citrus,Lemon,Earthy"
47,Ancient Kush,indica,"Pain,Stress,Lack of Appetite,Headaches","Relaxed,Creative,Energetic,Sleepy,Aroused",,"Cheese,Skunk,Citrus"
48,Ancient OG,indica,"Depression,Insomnia,Pain,Stress,Headaches","Relaxed,Hungry,Euphoric,Happy,Sleepy","Dry Mouth,Dry Eyes","Earthy,Diesel,Nutty"
49,Anesthesia,indica,"Insomnia,Pain,Stress,Headache,Headaches,Inflammation","Relaxed,Hungry,Euphoric,Happy,Sleepy","Dizzy,Dry Mouth,Paranoid,Dry Eyes","Sweet,Earthy,Pungent"
50,Angel OG,indica,"Insomnia,Pain,Stress","Relaxed,Euphoric,Happy,Sleepy",Dry Mouth,"Pungent,Earthy,Berry"
51,Animal Cookies,hybrid,"Depression,Insomnia,Pain,Stress,Fatigue","Relaxed,Euphoric,Happy,Uplifted,Sleepy","Dizzy,Dry Mouth,Paranoid,Dry Eyes,Anxious","Sweet,Earthy,Pungent"
52,Anonymous OG,indica,"Insomnia,Fatigue,Headaches,Eye Pressure,Inflammation","Relaxed,Euphoric,Happy,Sleepy,Aroused",Dry Mouth,"Earthy,Pungent,Citrus"
53,Ape Shit,hybrid,"Depression,Insomnia,Stress,Lack of Appetite,Eye Pressure","Relaxed,Euphoric,Happy,Creative,Giggly",Dry Mouth,"Grape,Sweet,Lavender"
54,Apollo 11,hybrid,"Depression,Insomnia,Pain,Stress,Headache,Headaches","Relaxed,Euphoric,Happy,Uplifted","Dizzy,Dry Mouth,Paranoid,Dry Eyes","Pungent,Cheese,Citrus"
55,Apollo 13,hybrid,"Depression,Pain,Stress,Headache,Fatigue,Headaches","Relaxed,Euphoric,Happy,Energetic,Giggly","Dizzy,Dry Mouth,Paranoid,Dry Eyes","Earthy,Sweet,Woody"
56,Appalachia,hybrid,"Pain,Cramps,Lack of Appetite,Inflammation,Muscle Spasms","Relaxed,Hungry,Euphoric,Happy,Creative",Dry Eyes,"Pungent,Earthy,Woody"
57,Appalachian Power,sativa,,"Euphoric,Happy,Creative,Energetic,Focused",,"Tropical,Grape,Citrus"
58,Apple Jack,hybrid,"Depression,Stress,Nausea,Fatigue,Muscle Spasms","Euphoric,Happy,Creative,Talkative,Uplifted","Dizzy,Dry Eyes,Anxious","Apple,Pungent,Skunk"
59,Apple Kush,hybrid,"Depression,Insomnia,Pain,Stress,Eye Pressure","Relaxed,Euphoric,Happy,Tingly","Dry Mouth,Dry Eyes","Apple,Diesel,Sweet"
60,Appleberry,indica,"Depression,Stress,Lack of Appetite,Headaches,Muscle Spasms","Relaxed,Sleepy,Focused",,"Berry,Earthy,Flowery"
61,Arctic Sun,hybrid,Stress,"Relaxed,Hungry,Euphoric,Creative,Energetic",,"Ammonia,Skunk"
62,ArcticBlue,hybrid,"Pain,Stress,Lack of Appetite,Inflammation,Spasticity","Relaxed,Happy,Creative,Energetic,Focused",Dry Mouth,"Blueberry,Sweet,Earthy"
63,Area 51,hybrid,"Depression,Pain,Stress,Cramps,Fatigue","Relaxed,Happy,Talkative,Uplifted,Giggly",Dry Mouth,"Sweet,Earthy,Citrus"
64,Argyle,indica,"Depression,Pain,Stress,Cramps,Fatigue","Relaxed,Happy,Energetic,Uplifted,Focused","Dizzy,Dry Mouth,Dry Eyes","Earthy,Woody,Citrus"
65,Arjan's Strawberry Haze,sativa,"Depression,Insomnia,Pain,Headache,Fatigue,Muscle Spasms","Relaxed,Happy,Energetic,Uplifted","Dizzy,Dry Mouth,Paranoid,Dry Eyes","Strawberry,Sweet,Earthy"
66,Arjan's Ultra Haze #1,sativa,"Stress,Lack of Appetite,Fatigue,Headaches,Muscle Spasms","Relaxed,Happy,Energetic,Uplifted,Focused","Dry Mouth,Dry Eyes","Mint,Pepper,Spicy/Herbal"
67,Armageddon,hybrid,"Depression,Stress,Lack of Appetite,Fatigue,Headaches","Relaxed,Euphoric,Happy,Talkative,Uplifted","Dizzy,Dry Mouth,Paranoid,Dry Eyes","Citrus,Earthy,Pungent"
68,Armagnac,hybrid,"Insomnia,Stress","Relaxed,Euphoric,Sleepy,Aroused","Dizzy,Dry Mouth","Earthy,Skunk,Flowery"
69,Ash,hybrid,"Depression,Pain,Stress,Lack of Appetite,Headache,Eye Pressure","Relaxed,Euphoric,Happy,Uplifted,Sleepy","Dizzy,Dry Mouth,Dry Eyes,Anxious","Earthy,Pine,Pungent"
70,Asian Fantasy,sativa,"Pain,Stress,Lack of Appetite,Headache,Headaches,Eye Pressure","Relaxed,Hungry,Euphoric,Happy,Talkative","Dizzy,Dry Mouth,Paranoid,Dry Eyes","Earthy,Skunk,Woody"
71,Aspen OG,hybrid,"Depression,Stress,Fatigue,Headaches,Inflammation","Relaxed,Hungry,Happy,Talkative,Focused",,"Spicy/Herbal,Skunk,Earthy"
72,Astroboy,sativa,"Depression,Pain,Fatigue,Headaches,Muscle Spasms","Happy,Creative,Energetic,Tingly,Focused",,"Citrus,Sweet,Grapefruit"
73,Athabasca,indica,"Depression,Stress,Fatigue,Headaches,Seizures","Relaxed,Happy,Talkative,Uplifted",Dry Mouth,"Earthy,Ammonia,Apple"
74,Atmosphere,hybrid,"Depression,Insomnia,Stress,Lack of Appetite,Nausea","Relaxed,Euphoric,Creative,Uplifted,Tingly","Dry Mouth,Dry Eyes","Flowery,Citrus,Earthy"
75,Atomic Goat,hybrid,"Depression,Pain,Stress,Headaches,Muscle Spasms","Relaxed,Happy,Energetic,Uplifted","Dry Mouth,Dry Eyes","Nutty,Sweet,Earthy"
76,Atomic Northern Lights,hybrid,"Depression,Insomnia,Pain,Nausea,Headache,Headaches","Relaxed,Hungry,Euphoric,Happy,Uplifted","Dizzy,Dry Mouth,Paranoid,Dry Eyes","Earthy,Skunk,Pungent"
77,Atomical Haze,sativa,"Depression,Pain,Stress,Nausea,Eye Pressure","Relaxed,Hungry,Happy,Creative,Focused","Dry Mouth,Dry Eyes","Minty,Nutty,Pine"
78,Aurora Borealis,indica,"Insomnia,Pain,Stress,Lack of Appetite,Headaches","Relaxed,Happy,Energetic,Talkative,Uplifted",Dry Mouth,"Sweet,Earthy,Skunk"
79,Aurora Indica,indica,"Depression,Insomnia,Pain,Stress,Muscle Spasms","Relaxed,Euphoric,Happy,Sleepy,Aroused","Dry Mouth,Paranoid,Dry Eyes","Earthy,Pine,Citrus"
80,Avalon,hybrid,"Insomnia,Pain,Stress,Nausea,Headache","Hungry,Uplifted,Tingly,Giggly,Aroused","Dizzy,Dry Mouth,Paranoid","Earthy,Nutty,Sweet"
81,Avi,hybrid,"Depression,Insomnia,Fatigue,Inflammation,Muscle Spasms","Relaxed,Happy,Creative,Energetic,Focused",Dry Mouth,"Earthy,Pungent"
82,Avi-Dekel,hybrid,"Depression,Pain,Stress,Headache,Fatigue,Inflammation","Relaxed,Euphoric,Happy,Uplifted,Aroused","Dizzy,Dry Mouth,Anxious","Earthy,Woody,Sweet"
83,Azure Haze,hybrid,"Depression,Insomnia,Pain,Stress,Lack of Appetite","Relaxed,Hungry,Happy,Uplifted","Dizzy,Dry Mouth,Dry Eyes,Anxious","Sweet,Berry,Earthy"
84,B-52,indica,"Depression,Insomnia,Stress,Lack of Appetite,Headaches","Relaxed,Euphoric,Energetic,Focused","Dry Mouth,Dry Eyes","Earthy,Sweet,Woody"
85,B-Witched,hybrid,"Insomnia,Stress,Lack of Appetite,Headaches,Muscle Spasms","Relaxed,Hungry,Euphoric,Happy,Sleepy",,"Earthy,Sweet,Chestnut"
86,B.B. King,indica,"Depression,Insomnia,Pain,Nausea,Muscle Spasms","Relaxed,Happy,Uplifted,Sleepy,Giggly",,"Berry,Blueberry,Lemon"
87,B4,hybrid,"Depression,Pain,Stress,Cramps","Relaxed,Euphoric,Happy,Uplifted,Giggly",,"Flowery,Minty,Earthy"
88,BC Big Bud,hybrid,"Depression,Insomnia,Pain,Stress,Lack of Appetite","Relaxed,Euphoric,Happy,Uplifted,Sleepy","Dizzy,Dry Mouth,Paranoid,Dry Eyes,Anxious","Skunk,Earthy,Sweet"
89,BC Roadkill,hybrid,"Depression,Pain,Stress,Nausea,Fatigue","Euphoric,Happy,Creative,Uplifted,Aroused","Dizzy,Dry Mouth,Paranoid,Dry Eyes,Anxious","Skunk,Diesel,Lemon"
90,BC Sweet Tooth,indica,"Insomnia,Pain,Stress,Lack of Appetite,Headache,Inflammation","Relaxed,Happy,Creative,Uplifted,Sleepy","Dizzy,Dry Mouth,Paranoid,Dry Eyes","Sweet,Honey,Tree Fruit"
91,BOG Bubble,hybrid,"Depression,Insomnia,Pain,Stress,Cramps","Relaxed,Hungry,Happy,Creative,Uplifted","Dry Mouth,Dry Eyes","Flowery,Berry,Earthy"
92,BSC,hybrid,"Pain,Stress,Cramps,Nausea,Headaches","Euphoric,Happy,Creative,Uplifted,Giggly",Dry Mouth,"Earthy,Pungent,Woody"
93,Bakerstreet,indica,"Insomnia,Pain,Stress,Lack of Appetite,Headaches","Relaxed,Hungry,Euphoric,Happy,Giggly","Dry Mouth,Dry Eyes","Earthy,Sweet,Diesel"
94,Balmoral,hybrid,"Depression,Pain,Stress,Headaches,Inflammation","Relaxed,Happy,Energetic,Talkative","Dry Mouth,Dry Eyes","Chemical,Earthy,Pine"
95,Banana Candy,indica,"Depression,Insomnia,Pain,Stress,Muscle Spasms","Relaxed,Euphoric,Happy,Creative,Uplifted","Dizzy,Dry Mouth,Paranoid,Dry Eyes","Tree Fruit,Flowery,Earthy"
96,Banana Diesel,hybrid,"Depression,Pain,Stress,Headache,Fatigue,Headaches","Relaxed,Euphoric,Happy,Uplifted,Tingly","Dizzy,Dry Mouth,Paranoid,Dry Eyes","Sweet,Diesel,Earthy"
97,Banana Kush,hybrid,"Depression,Insomnia,Pain,Stress,Lack of Appetite,Headache","Relaxed,Happy,Creative,Uplifted,Focused","Dizzy,Dry Mouth,Paranoid,Dry Eyes","Sweet,Tropical,Tree Fruit"
98,Banana OG,hybrid,"Depression,Insomnia,Pain,Stress,Headaches","Relaxed,Euphoric,Happy,Uplifted,Sleepy","Dizzy,Dry Mouth,Paranoid,Dry Eyes,Anxious","Sweet,Earthy,Flowery"
99,Banana Peel,hybrid,"Depression,Pain,Stress,Fatigue,Headaches","Relaxed,Euphoric,Happy,Creative,Uplifted",,"Sweet,Tree Fruit,Pear"
100,Bananas,hybrid,"Depression,Pain,Stress,Lack of Appetite,Nausea","Relaxed,Hungry,Happy,Uplifted,Focused",,"Tropical,Tree Fruit,Chemical"
101,Bandana,hybrid,"Depression,Pain,Stress,Fatigue,Headaches","Relaxed,Euphoric,Happy,Creative,Tingly",,"Earthy,Pungent,Woody"
102,Bango,hybrid,,"Euphoric,Creative,Energetic,Focused,Giggly",,"Earthy,Lime,Pungent"
103,Barbara Bud,indica,"Depression,Insomnia,Pain,Stress,Headache,Muscle Spasms","Relaxed,Hungry,Euphoric,Happy,Sleepy","Dizzy,Dry Mouth,Dry Eyes,Anxious","Earthy,Spicy/Herbal,Woody"
104,Batman OG,indica,"Depression,Insomnia,Lack of Appetite,Eye Pressure","Relaxed,Happy,Creative,Sleepy,Giggly",,"Skunk,Sweet,Tropical"
105,Bay 11,sativa,"Depression,Pain,Stress,Inflammation,Spasticity","Relaxed,Happy,Creative,Energetic,Uplifted","Dry Mouth,Paranoid,Dry Eyes,Anxious","Earthy,Sweet,Citrus"
106,Bay Dream,sativa,"Depression,Pain,Stress,Lack of Appetite,Headaches","Relaxed,Hungry,Euphoric,Happy,Focused","Dizzy,Dry Mouth,Paranoid,Dry Eyes,Anxious","Citrus,Earthy,Pungent"
107,Beastmode 2.0,indica,"Depression,Insomnia,Pain,Stress,Lack of Appetite","Relaxed,Euphoric,Happy,Uplifted,Sleepy",,"Sweet,Berry,Citrus"
108,Beastmode OG,hybrid,"Depression,Pain,Stress,Lack of Appetite,Fatigue","Relaxed,Euphoric,Happy,Uplifted,Giggly","Dry Mouth,Dry Eyes","Earthy,Apricot,Cheese"
109,Bedford Glue,hybrid,"Pain,Lack of Appetite,Inflammation,Seizures,Muscle Spasms","Relaxed,Euphoric,Happy,Energetic,Giggly",,"Earthy,Flowery,Grape"
110,Bedica,indica,"Insomnia,Pain,Lack of Appetite,Headache,Headaches,Inflammation","Relaxed,Hungry,Happy,Tingly,Sleepy","Dizzy,Dry Mouth,Dry Eyes","Chemical,Spicy/Herbal,Nutty"
111,Bediol,sativa,"Pain,Stress,Nausea,Fatigue,Inflammation","Relaxed,Happy,Creative,Energetic,Uplifted",,"Citrus,Pine,Lemon"
112,Bell Ringer,indica,"Depression,Insomnia,Pain,Lack of Appetite,Nausea","Relaxed,Hungry,Sleepy","Dry Mouth,Dry Eyes","Citrus,Pungent,Sweet"
113,Belladonna,hybrid,"Depression,Insomnia,Pain,Stress,Fatigue","Euphoric,Happy,Uplifted,Sleepy,Giggly","Dizzy,Dry Mouth,Paranoid,Dry Eyes,Anxious","Peach,Earthy,Butter"
114,Berkeley,sativa,"Depression,Pain,Stress,Lack of Appetite,Nausea,Headache","Happy,Creative,Energetic,Uplifted","Dry Mouth,Paranoid,Dry Eyes,Anxious","Sweet,Earthy,Pine"
115,Berry Bomb,hybrid,"Depression,Insomnia,Stress,Lack of Appetite,Headache,Headaches","Relaxed,Hungry,Euphoric,Happy,Creative","Dizzy,Paranoid,Dry Eyes,Anxious","Berry,Sweet,Earthy"
116,Berry Noir,indica,"Insomnia,Stress,Nausea,Inflammation,Muscle Spasms","Relaxed,Hungry,Euphoric,Sleepy,Focused",,"Berry,Earthy,Ammonia"
117,Berry OG,hybrid,"Depression,Insomnia,Pain,Stress,Nausea","Relaxed,Euphoric,Happy,Creative,Sleepy","Dry Mouth,Dry Eyes,Anxious","Berry,Apple,Sweet"
118,Berry White,indica,"Depression,Insomnia,Pain,Stress,Fatigue","Relaxed,Euphoric,Happy,Creative,Uplifted","Dizzy,Dry Mouth,Paranoid,Dry Eyes,Anxious","Berry,Sweet,Blueberry"
119,Bertberry Cheesecake,sativa,"Depression,Insomnia,Stress,Cramps,Headaches","Euphoric,Creative,Energetic,Uplifted,Focused",,"Blueberry,Cheese,Berry"
120,Bettie Page,hybrid,"Depression,Insomnia,Pain,Stress,Fatigue","Relaxed,Happy,Creative,Energetic,Uplifted",Dizzy,"Cheese,Diesel,Pungent"
121,Bhang 007 OG,indica,"Insomnia,Pain,Nausea,Fatigue,Headaches","Relaxed,Hungry,Tingly,Sleepy",Anxious,"Earthy,Pine,Woody"
122,Bhang Afgoo,indica,"Depression,Insomnia,Pain,Lack of Appetite,Fatigue","Relaxed,Creative,Tingly,Aroused",Dry Mouth,"Earthy,Chemical,Diesel"
123,Bhang Arjan's Strawberry Haze,sativa,,"Happy,Talkative",Dry Mouth,Strawberry
124,Bhang Blackberry Kush,indica,"Pain,Stress,Fatigue,Headaches,Inflammation","Relaxed,Happy,Uplifted,Tingly,Focused",,"Berry,Grape,Lavender"
125,Bhang Bubba Kush,indica,,"Relaxed,Happy,Sleepy",,Earthy
126,Bhang Cali Orange,hybrid,"Depression,Insomnia,Lack of Appetite","Relaxed,Euphoric,Happy,Aroused",Dizzy,"Blue Cheese,Flowery,Orange"
127,Bhang Casey Jones,sativa,"Nausea,Fatigue,Headaches,Eye Pressure,Muscle Spasms",,,"Ammonia,Chemical,Menthol"
128,Bhang Cheese,hybrid,,"Relaxed,Focused",Dry Mouth,Cheese
129,Bhang ChemDawg,hybrid,"Pain,Stress,Nausea,Headaches","Relaxed,Happy,Energetic,Uplifted",,"Earthy,Pungent"
130,Bhang Cherry Kola,indica,"Pain,Lack of Appetite,Nausea",,"Dizzy,Dry Eyes,Anxious",Butter
131,Bhang Chocolope,sativa,"Depression,Stress,Fatigue","Euphoric,Happy,Energetic,Uplifted,Giggly",,"Coffee,Earthy,Flowery"
132,Bhang Diablo OG,indica,"Insomnia,Pain,Stress,Lack of Appetite,Headaches","Euphoric,Happy,Creative,Uplifted",Dizzy,"Citrus,Earthy,Blueberry"
133,Bhang Durban Poison,sativa,"Depression,Stress,Fatigue,Headaches,Inflammation","Relaxed,Hungry,Happy,Uplifted,Giggly",,"Earthy,Flowery,Pungent"
134,Bhang Dutch Treat,hybrid,"Stress,Fatigue,Headaches,Eye Pressure","Relaxed,Hungry,Uplifted,Focused",,"Earthy,Pungent,Woody"
135,Bhang Girl Scout Cookies,hybrid,"Depression,Pain,Stress,Lack of Appetite,Inflammation","Relaxed,Euphoric,Creative,Tingly,Focused",,"Earthy,Grapefruit,Pine"
136,Bhang Granddaddy Purple,indica,"Insomnia,Pain,Stress,Lack of Appetite,Nausea","Relaxed,Euphoric,Happy,Energetic,Aroused",Dry Mouth,"Grape,Berry,Woody"
137,Bhang Grape Ape,indica,Stress,"Euphoric,Focused,Giggly",Dry Eyes,"Berry,Grape"
138,Bhang Harlequin,sativa,"Depression,Headaches","Relaxed,Happy,Sleepy,Focused,Giggly",,"Woody,Chestnut,Lemon"
139,Bhang Hawaiian Haze,sativa,,"Relaxed,Hungry,Uplifted,Sleepy,Giggly",,"Flowery,Pungent,Sweet"
140,Bhang Holy Grail,hybrid,"Pain,Stress,Lack of Appetite,Muscle Spasms","Hungry,Euphoric,Happy","Dry Mouth,Dry Eyes","Grapefruit,Lime,Skunk"
141,Bhang Island Sweet Skunk,sativa,"Depression,Pain,Stress,Fatigue,Inflammation","Happy,Energetic,Uplifted,Tingly,Aroused","Dry Mouth,Dry Eyes","Skunk,Sweet,Tropical"
142,Bhang J-1,hybrid,"Stress,Fatigue","Relaxed,Euphoric,Uplifted,Tingly,Focused",,"Blueberry,Citrus,Lemon"
143,Bhang Jack Herer,sativa,"Depression,Insomnia,Pain,Headaches","Relaxed,Hungry,Euphoric,Happy,Energetic",,"Citrus,Sweet,Tar"
144,Bhang Juicy Fruit,hybrid,"Pain,Stress,Nausea,Headaches","Relaxed,Euphoric,Creative,Uplifted",Dry Eyes,"Sweet,Citrus,Lemon"
145,Bhang Kali Mist,sativa,,"Hungry,Euphoric,Happy,Creative,Energetic",,"Berry,Pine,Skunk"
146,Bhang King's Kush,indica,"Pain,Stress,Lack of Appetite,Muscle Spasms","Relaxed,Uplifted","Dizzy,Dry Mouth,Dry Eyes","Berry,Blueberry,Diesel"
147,Bhang Lavender Kush,indica,"Depression,Pain,Stress,Cramps,Lack of Appetite","Relaxed,Happy,Tingly,Sleepy,Giggly",Dry Mouth,"Minty,Sweet,Lavender"
148,Bhang Lemon Haze,sativa,"Depression,Stress,Cramps,Nausea,Fatigue","Happy,Energetic,Talkative,Uplifted",Dry Eyes,"Citrus,Flowery,Lemon"
149,Bhang Lemon Skunk,hybrid,"Depression,Stress,Cramps","Relaxed,Hungry,Creative,Uplifted",,Lime
