,name,race,medical,positive,negative,flavors
1793,The Sister,indica,"Depression,Insomnia,Pain,Lack of Appetite,Headaches","Relaxed,Creative,Uplifted,Tingly,Aroused",Dry Mouth,"Sweet,Diesel,Skunk"
1794,The Third Dimension,hybrid,"Depression,Pain,Stress,Lack of Appetite,Muscle Spasms","Euphoric,Happy,Creative,Energetic,Uplifted",Anxious,"Citrus,Sweet,Orange"
1795,The Truth,hybrid,"Depression,Insomnia,Pain,Stress,Headaches","Relaxed,Euphoric,Happy,Uplifted,Focused","Dry Mouth,Dry Eyes","Earthy,Berry,Woody"
1796,The Void,hybrid,"Depression,Insomnia,Pain,Stress,Headache,Fatigue","Relaxed,Euphoric,Happy,Talkative,Uplifted","Dizzy,Dry Mouth,Paranoid,Dry Eyes","Pungent,Cheese,Spicy/Herbal"
1797,The White,hybrid,"Depression,Insomnia,Pain,Stress,Lack of Appetite","Relaxed,Euphoric,Happy,Uplifted,Sleepy","Dizzy,Dry Mouth,Paranoid,Dry Eyes,Anxious","Earthy,Pine,Sweet"
1798,The Wife,hybrid,"Depression,Pain,Fatigue,Inflammation,Muscle Spasms","Relaxed,Happy,Creative,Uplifted,Aroused",,"Sweet,Tree Fruit,Plum"
1799,Thelonious Skunk,hybrid,"Depression,Insomnia,Pain,Stress","Relaxed,Euphoric,Happy,Uplifted",Dry Eyes,"Skunk,Citrus,Pungent"
1800,Thin Mint Girl Scout Cookies,hybrid,"Depression,Pain,Stress,Lack of Appetite,Nausea","Relaxed,Euphoric,Happy,Creative,Uplifted","Dizzy,Dry Mouth,Paranoid,Dry Eyes,Anxious","Minty,Sweet,Mint"
1801,Think Different,hybrid,"Depression,Pain,Stress,Fatigue,Eye Pressure","Hungry,Euphoric,Happy,Energetic,Uplifted","Dry Mouth,Paranoid,Dry Eyes","Flowery,Tropical,Honey"
1802,Thor's Hammer,sativa,"Depression,Stress,Lack of Appetite,Fatigue,Inflammation","Euphoric,Creative,Energetic,Uplifted,Tingly","Dry Mouth,Paranoid,Dry Eyes","Pungent,Sweet,Citrus"
1803,Throwback Kush,indica,,"Relaxed,Hungry,Happy,Sleepy",Dry Mouth,"Earthy,Woody"
1804,Thunderbird Rose,sativa,"Depression,Pain,Stress,Fatigue,Headaches","Euphoric,Happy,Creative,Uplifted,Focused",,"Rose,Sweet,Earthy"
1805,Thunderstruck,sativa,"Depression,Pain,Stress,Eye Pressure,Inflammation","Relaxed,Happy,Creative,Uplifted,Tingly",,"Sweet,Pine,Spicy/Herbal"
1806,Tickle Kush,hybrid,"Depression,Pain,Stress,Fatigue","Euphoric,Happy,Creative,Energetic,Giggly",Dry Mouth,"Apple,Berry,Apricot"
1807,Tiger Woods,hybrid,"Depression,Stress,Lack of Appetite,Nausea","Euphoric,Happy,Tingly,Giggly","Dry Mouth,Paranoid","Sweet,Flowery,Pungent"
1808,Tiger's Milk,indica,"Insomnia,Pain,Stress,Lack of Appetite,Headaches","Relaxed,Hungry,Euphoric,Happy,Sleepy","Dizzy,Dry Mouth,Dry Eyes","Honey,Earthy,Flowery"
1809,Tigermelon,indica,,"Relaxed,Happy",,Sweet
1810,Tillamook Strawberry,hybrid,"Depression,Insomnia,Lack of Appetite","Hungry,Euphoric,Happy,Uplifted,Focused",Dry Mouth,"Strawberry,Sweet,Diesel"
1811,Timewreck,sativa,"Depression,Insomnia,Pain,Stress,Headache,Fatigue","Euphoric,Happy,Energetic,Uplifted,Focused","Dizzy,Dry Mouth,Dry Eyes,Anxious","Cheese,Sage,Sweet"
1812,Tina Danza,hybrid,"Depression,Insomnia,Stress,Lack of Appetite,Fatigue","Relaxed,Hungry,Happy,Creative",Dry Eyes,"Flowery,Pine"
1813,Titan's Haze,sativa,"Depression,Pain,Cramps,Inflammation","Euphoric,Happy,Creative,Energetic,Tingly",,"Pungent,Skunk,Spicy/Herbal"
1814,Tokyo OG,hybrid,"Depression,Pain,Stress,Lack of Appetite,Headaches","Relaxed,Euphoric,Happy,Uplifted,Sleepy","Dry Eyes,Anxious","Pine,Lemon,Sweet"
1815,Tommy's Home Grown,hybrid,"Depression,Stress,Lack of Appetite","Relaxed,Happy,Creative,Energetic,Focused",,"Earthy,Nutty,Spicy/Herbal"
1816,Tora Bora,indica,"Insomnia,Pain,Stress,Inflammation,Muscle Spasms","Relaxed,Euphoric,Happy,Tingly,Sleepy","Dry Mouth,Paranoid,Dry Eyes","Earthy,Spicy/Herbal,Pine"
1817,Toxic Punch,hybrid,"Depression,Insomnia,Pain,Stress,Lack of Appetite","Relaxed,Hungry,Happy,Energetic,Uplifted",,"Pine,Berry,Citrus"
1818,Training Day,indica,"Depression,Insomnia,Pain,Stress,Headache,Muscle Spasms","Relaxed,Euphoric,Happy,Uplifted,Sleepy","Dizzy,Dry Mouth,Dry Eyes,Anxious","Earthy,Pine,Pungent"
1819,Trainwreck,hybrid,"Depression,Pain,Stress,Lack of Appetite,Headaches","Relaxed,Euphoric,Happy,Energetic,Uplifted","Dizzy,Dry Mouth,Paranoid,Dry Eyes,Anxious","Earthy,Pine,Citrus"
1820,Tranquil Elephantizer: Remix,indica,"Insomnia,Pain,Stress,Cramps,Nausea","Relaxed,Hungry,Sleepy","Dizzy,Dry Mouth,Dry Eyes,Anxious","Earthy,Pepper,Woody"
1821,Trash,hybrid,"Depression,Pain,Stress,Nausea,Inflammation","Relaxed,Euphoric,Happy,Uplifted,Focused",,"Earthy,Berry,Citrus"
1822,Travel Joint,hybrid,"Depression,Stress,Nausea,Fatigue,Inflammation","Happy,Creative,Energetic,Uplifted,Aroused",,"Lemon,Lime,Earthy"
1823,Treasure Island,hybrid,"Depression,Pain,Stress,Headaches,Inflammation","Relaxed,Happy,Energetic,Focused",Dry Mouth,"Earthy,Flowery,Lavender"
1824,Tree of Life,hybrid,"Depression,Pain,Stress,Cramps,Nausea","Relaxed,Happy,Creative,Energetic,Uplifted","Dry Mouth,Dry Eyes","Earthy,Spicy/Herbal,Woody"
1825,Tres Dawg,hybrid,"Depression,Pain,Stress,Lack of Appetite,Fatigue","Relaxed,Euphoric,Happy,Energetic,Sleepy","Dizzy,Dry Mouth,Paranoid,Dry Eyes,Anxious","Citrus,Pungent,Sweet"
1826,Triangle Kush,indica,"Depression,Insomnia,Pain,Stress,Headache,Headaches","Relaxed,Euphoric,Happy,Creative,Uplifted","Dizzy,Dry Eyes","Earthy,Pine,Sweet"
1827,Trident,hybrid,"Depression,Pain,Stress,Inflammation,Muscle Spasms","Relaxed,Happy,Uplifted,Tingly,Sleepy",,"Pungent,Earthy,Citrus"
1828,Trifecta,hybrid,"Depression,Insomnia,Pain,Stress,Nausea,Headache","Relaxed,Hungry,Euphoric,Uplifted,Tingly","Dry Mouth,Paranoid,Dry Eyes",Skunk
1829,Trinity,sativa,"Depression,Pain,Stress,Nausea,Headache,Headaches","Relaxed,Euphoric,Happy,Focused,Aroused","Dizzy,Dry Mouth,Paranoid,Dry Eyes","Pungent,Earthy,Skunk"
1830,Triple Cheese,indica,"Depression,Pain,Stress,Lack of Appetite,Fatigue","Relaxed,Hungry,Euphoric,Happy,Sleepy",Dry Eyes,"Cheese,Pungent,Sweet"
1831,Triple Diesel,sativa,"Pain,Lack of Appetite,Headaches,Eye Pressure,Muscle Spasms","Relaxed,Euphoric,Happy,Creative,Uplifted","Dizzy,Dry Mouth,Paranoid,Dry Eyes,Anxious","Diesel,Sweet,Tropical"
1832,Trix,sativa,"Depression,Stress,Fatigue,Spasticity","Happy,Energetic,Talkative,Uplifted",Anxious,"Sweet,Berry,Grape"
1833,Tropic Thunder,hybrid,"Depression,Pain,Stress,Fatigue,Headaches","Euphoric,Happy,Creative,Energetic,Uplifted",,"Tropical,Grapefruit,Sweet"
1834,Tropical Tang,hybrid,"Depression,Pain,Stress,Headache,Fatigue,Headaches","Relaxed,Euphoric,Happy,Focused","Dry Mouth,Dry Eyes","Citrus,Apricot,Skunk"
1835,Tropicali,hybrid,"Depression,Pain,Stress,Lack of Appetite,Headache,Headaches","Relaxed,Hungry,Euphoric,Energetic,Uplifted","Dry Mouth,Paranoid,Dry Eyes","Tropical,Orange,Citrus"
